Text-ID	Sentence-ID	Text
EN_003	1	PM
EN_003	2	Orban: Gradual reopening may begin after Easter
EN_003	3	The faster we vaccinate, the sooner the number of infection cases and deaths will decrease.
EN_003	4	This is why it is important not to be deceived by those who promote anti-vaccination views, Viktor Orban stressed in his exclusive interview with Hungary's public broadcaster.
EN_003	5	The prime minister said he expects that the number of those vaccinated will reach two and a half million after Easter, allowing the country to gradually reopen.
EN_003	6	Asked why reaching 2.5 million jabs was set as the target for reopening to become an option, PM Orban said the country cannot be reopened before all those over the age of 65 have been vaccinated.
EN_003	7	"""It's our moral duty,"" he underlined."
EN_003	8	There is only one remedy that can help us slow down or kill the virus, and that is vaccination, so we must focus all our efforts on inoculation.
EN_003	9	Many have suffered serious losses and find it difficult to cope, the premier said.
EN_003	10	Once we have managed to contain the epidemic, we should not only restart the country's economy, but also reinvigorate community life.
EN_003	11	"""Everyone has lost their serenity, good spirit, and perhaps even happiness,"" Viktor Orban said."
EN_003	12	The virus brings harm not only to human life, but also destroys jobs and attacks the economy.
EN_003	13	Shops, factories or hotels cannot be reopened from one day to another, so it is important to let people know what to expect.
EN_003	14	Parents need to know when they can take their children to school or kindergarten again.
EN_003	15	"""We must maintain defence, administer vaccines and help people at the same time so that they can plan the reopening of their personal lives,"" PM Orban pointed out."
EN_003	16	Hungary's current vaccination rate is 20 per cent, well above the EU average of 12 per cent.
EN_003	17	PM Orban thanked doctors, general practioners and nurses for their work and superhuman efforts.
EN_003	18	"""Our doctors and nurses are saving everyone they can, as they put their heart and soul in their work."
EN_003	19	"I think those in the medical sector must continue their strenuous work, but but their numbers will be sufficient."""
EN_003	20	The government took into account the unions' request and fast-tracked the inoculation of teachers, Mr Orban said.
EN_003	21	He added that the first jab ensures a very high level of protection which, if administered one week before school reopenings, will enable teachers to switch to face-to-face education.
EN_003	22	Responding to the news that several Western countries are planning to buy Eastern jabs, PM Orban said he was quite certain that it would happen.
EN_003	23	It was clear as early as last November that the vaccines ordered from the West would not arrive in time.
EN_003	24	Each EU member state is entitled to place separate orders based on their own emergency protocols but, apart from Hungary, only Slovakia did so.
EN_003	25	This was rather risky and we have received numerous attacks, but I think we made the right decision and saved the lives of thousands of people.
EN_003	26	Regarding the departure of Hungary's ruling Fidesz party from the European People's Party (EPP), Mr Orban said that the move resulted in a clear situation.
EN_003	27	In Europe, those who reject migration and support the traditional family model, reject multicultural societies and want to maintain their national identity without having to live in a Brussels-centric European empire have no adequate representation.
EN_003	28	Those voters' representation is non-existent, or fragmented, at best.
EN_003	29	Italian Lega party leader Matteo Salvini, Polish Prime Minister Mateusz Morawiecki and his Hungarian counterpart Viktor Orban are slated to meet on Thursday to discuss the possibility of a new platform.
EN_003	30	Hungary is on the verge of victory, PM Orban said at the end of the interview.
EN_003	31	We will have another two to three tough weeks, but after that the uncertain voices will wane.
EN_003	32	Our summer will be sunny and happy, but our hearts are with those who have lost their family members and friends.
EN_003	33	We pray for them and we are preparing to regain or cheerful, happy and hopeful way of life, which is within an arm's reach now, PM Orban concluded the interview.
EN_015	1	The Pope Says 'Humanity Must Repent For Abusing Mother Earth'
EN_015	2	We humans “must repent and modify our lifestyles” because of our abuse of Mother Earth, Pope Francis states in a message released Thursday.
EN_015	3	In his Message for the Celebration of the World Day of Prayer for the Care of Creation, the pontiff decries the “mistreatment” of our common home stemming from “our consumerist excesses,” “tyrannical anthropocentrism,” “predatory economic interests,” and “short sighted and selfish actions” leading to “the collapse of our planet’s ecosystems.”
EN_015	4	“In the first place, it is our sister, mother earth, who cries out.
EN_015	5	Prey to our consumerist excesses, she weeps and implores us to put an end to our abuses and to her destruction,” Francis declares in his Message.
EN_015	6	Because of human irresponsibility “countless species are dying out and their hymns of praise silenced,” the pope laments, while the ancestral lands of indigenous peoples “are being invaded and devastated on all sides, ‘provoking a cry that rises up to heaven.’”
EN_015	7	Because of the “climate crisis,” the poor disproportionately suffer the impact of “the drought, flooding, hurricanes and heat waves that are becoming ever more intense and frequent,” the pope asserts.
EN_015	8	“Listening to these anguished cries, we must repent and modify our lifestyles and destructive systems,” Francis proposes, since the “present state of decay of our common home merits the same attention as other global challenges such as grave health crises and wars.”
EN_015	9	The ecological conversion needed to bring about lasting change cannot simply take place at the individual level, the pope insists, but must be “also a community conversion” embracing multilateral solutions, “especially in the meetings of the United Nations devoted to the environmental question.”
EN_015	10	In his Message, Francis also plugs the COP27 conference on climate change, to be held in Egypt in November 2022, which “represents the next opportunity for all to join in promoting the effective implementation of the Paris Agreement.”
EN_015	11	The Holy See subscribes to the Paris goal of limiting temperature increase to 1.5°C, Francis states, which “calls for responsible cooperation between all nations in presenting climate plans or more ambitious nationally determined contributions in order to reduce to zero, as quickly as possible, net greenhouse gas emissions.”
EN_015	12	“This means ‘converting’ models of consumption and production, as well as lifestyles, in a way more respectful of creation and the integral human development of all peoples, present and future,” he adds.
EN_015	13	“The transition brought about by this conversion cannot neglect the demands of justice, especially for those workers who are most affected by the impact of climate change.”
EN_015	14	Along with the UN climate conference, Francis underscores the importance of a UN summit on biodiversity, to be held in Canada in December, as a way to address “the double crisis of climate change and the reduction of biodiversity.”
EN_015	15	The summit “will offer to the goodwill of governments a significant opportunity to adopt a new multilateral agreement to halt the destruction of ecosystems and the extinction of species,” he states.
EN_015	16	The pontiff goes on to insist that wealthy nations have an “ecological debt” to poorer nations and must subsidize their transition to sustainable energy in reparation for their excesses.
EN_015	17	“How can we fail to acknowledge the existence of an ‘ecological debt’ incurred by the economically richer countries, who have polluted most in the last two centuries; this demands that they take more ambitious steps at COP27 and at COP15,” he declares.
EN_015	18	This debt also means “keeping their promises of financial and technical support for the economically poorer nations, which are already experiencing most of the burden of the climate crisis,” he proposes.
EN_015	19	“In the name of God, I ask the great extractive industries – mining, oil, forestry, real estate, agribusiness – to stop destroying forests, wetlands, and mountains, to stop polluting rivers and seas, to stop poisoning food and people.”
EN_015	20	“It is necessary for all of us to act decisively.
EN_015	21	For we are reaching ‘a breaking point,’” he states.
EN_015	22	As you can see the Pope is now a proponent of Gaia, aka “Mother Earth”… No he is not saying Humanity should repent for straying away from God, no, now humanity should apologize to Gaia!
EN_015	23	This personification of the Earth is pagan in origin and as you can see the Pope is anything BUT Christian.
EN_015	24	He is definitely spending way too much time with these pagan brown Indians… He is getting influenced by them, not by Jesus.
EN_023	1	Gove in Belfast to promote Trader Support Service to help NI businesses avoid Brexit red tape
EN_023	2	UP TO £355 million of taxpayers’ money will be used to help businesses in Northern Ireland cope with additional bureaucracy caused by Brexit.
EN_023	3	The funding, announced by Chancellor of the Duchy of Lancaster Michael Gove as he visits Northern Ireland, will help firms deal with the paperwork associated with bringing goods in from Britain or the rest of the world.
EN_023	4	The new Trader Support Service is aimed at addressing concerns from Northern Ireland businesses that red tape could disrupt the flow of goods from Britain.
EN_023	5	An initial £50 million will set up the service, with the full contract worth up to £200 million.
EN_023	6	It will provide end-to-end support to deal with import, safety and security declarations on behalf of traders.
EN_023	7	Businesses in Northern Ireland can sign up for further information about the scheme from today, before it becomes operational in September.
EN_023	8	A £155 million investment will fund the development of new technology to ensure the process can be fully digital and streamlined.
EN_023	9	The measures are needed because the Northern Ireland protocol requires it to remain in alignment with EU rules on goods, effectively creating a regulatory border in the Irish Sea from 1 January after the transition period ends.
EN_023	10	That means that digital import and safety and security declarations will be needed to avoid tariffs on trade within the UK and that goods destined for Ireland or the EU pay tariffs when they should.
EN_023	11	The Trader Support Service will take care of those on businesses’ behalf at no cost, with officials indicating it should be seen as an enduring commitment rather than a short-term fix.
EN_023	12	Further support could be provided to cover health certification requirements for agrifoods.
EN_023	13	Separately, a further £300 million has been committed to the Peace Plus programme to support reconciliation projects across the island of Ireland from 2021-27.
EN_023	14	Gove and Northern Ireland Secretary Brandon Lewis will promote the package during a joint visit.
